time,cpu_usage
1970-01-01 00:05:00,0.8176784515380859
1970-01-01 00:10:00,0.5824623107910156
1970-01-01 00:15:00,0.4966611862182617
1970-01-01 00:20:00,0.703495979309082
1970-01-01 00:25:00,0.8556299209594727
1970-01-01 00:30:00,0.7815036773681641
1970-01-01 00:35:00,0.875396728515625
1970-01-01 00:40:00,0.6387577056884766
1970-01-01 00:45:00,0.5335884094238281
1970-01-01 00:50:00,0.5510311126708984
1970-01-01 00:55:00,0.24730491638183594
1970-01-01 01:00:00,0.38044071197509766
1970-01-01 01:05:00,0.21326637268066406
1970-01-01 01:10:00,0.2760343551635742
1970-01-01 01:15:00,0.8101539611816406
1970-01-01 01:20:00,0.8310146331787109
1970-01-01 01:25:00,1.0000133514404297
1970-01-01 01:30:00,0.8844900131225586
1970-01-01 01:35:00,1.261317253112793
1970-01-01 01:40:00,1.3629589080810547
1970-01-01 01:45:00,1.377614974975586
1970-01-01 01:50:00,1.3432598114013672
1970-01-01 01:55:00,1.3601341247558594
1970-01-01 02:00:00,1.662144660949707
1970-01-01 02:05:00,1.539250373840332
1970-01-01 02:10:00,1.6111164093017578
1970-01-01 02:15:00,1.5946998596191406
1970-01-01 02:20:00,1.5424270629882812
1970-01-01 02:25:00,1.4768600463867188
1970-01-01 02:30:00,1.472238540649414
1970-01-01 02:35:00,1.170553207397461
1970-01-01 02:40:00,2.7514915466308594
1970-01-01 02:45:00,2.1073484420776367
1970-01-01 02:50:00,1.8533010482788086
1970-01-01 02:55:00,1.9347095489501953
1970-01-01 03:00:00,2.3524484634399414
1970-01-01 03:05:00,2.101931571960449
1970-01-01 03:10:00,3.0329456329345703
1970-01-01 03:15:00,3.1419849395751953
1970-01-01 03:20:00,2.360095977783203
1970-01-01 03:25:00,3.2604799270629883
1970-01-01 03:30:00,2.6974849700927734
1970-01-01 03:35:00,1.5465879440307617
1970-01-01 03:40:00,1.1788597106933594
1970-01-01 03:45:00,1.3961114883422852
1970-01-01 03:50:00,1.4681777954101562
1970-01-01 03:55:00,1.7607736587524414
1970-01-01 04:00:00,2.180744171142578
1970-01-01 04:05:00,1.713247299194336
1970-01-01 04:10:00,1.1932001113891602
1970-01-01 04:15:00,1.7438602447509766
1970-01-01 04:20:00,2.711019515991211
1970-01-01 04:25:00,2.5254268646240234
1970-01-01 04:30:00,2.460995674133301
1970-01-01 04:35:00,2.010512351989746
1970-01-01 04:40:00,1.923666000366211
1970-01-01 04:45:00,2.5434494018554688
1970-01-01 04:50:00,2.4576196670532227
1970-01-01 04:55:00,3.1223526000976562
1970-01-01 05:00:00,2.2129926681518555
1970-01-01 05:05:00,1.399209976196289
1970-01-01 05:10:00,1.1996736526489258
1970-01-01 05:15:00,1.1047372817993164
1970-01-01 05:20:00,0.49788570404052734
1970-01-01 05:25:00,0.8129615783691406
1970-01-01 05:30:00,1.2944679260253906
1970-01-01 05:35:00,1.5620174407958984
1970-01-01 05:40:00,1.8082313537597656
1970-01-01 05:45:00,1.9049205780029297
1970-01-01 05:50:00,2.049306869506836
1970-01-01 05:55:00,1.860926628112793
1970-01-01 06:00:00,1.9754276275634766
1970-01-01 06:05:00,2.1016979217529297
1970-01-01 06:10:00,1.6123218536376953
1970-01-01 06:15:00,1.5483818054199219
1970-01-01 06:20:00,1.6399478912353516
1970-01-01 06:25:00,1.5036506652832031
1970-01-01 06:30:00,1.5298871994018555
1970-01-01 06:35:00,1.8297233581542969
1970-01-01 06:40:00,1.8693475723266602
1970-01-01 06:45:00,1.620173454284668
1970-01-01 06:50:00,1.6230535507202148
1970-01-01 06:55:00,1.7163572311401367
1970-01-01 07:00:00,1.4672307968139648
1970-01-01 07:05:00,1.600447654724121
1970-01-01 07:10:00,1.2946014404296875
1970-01-01 07:15:00,1.5880317687988281
1970-01-01 07:20:00,1.2471294403076172
1970-01-01 07:25:00,0.9134483337402344
1970-01-01 07:30:00,1.211130142211914
1970-01-01 07:35:00,1.1113290786743164
1970-01-01 07:40:00,0.7669696807861328
1970-01-01 07:45:00,0.6966419219970703
1970-01-01 07:50:00,0.5676555633544922
1970-01-01 07:55:00,0.7249126434326172
1970-01-01 08:00:00,0.6859760284423828
1970-01-01 08:05:00,1.204681396484375
1970-01-01 08:10:00,1.1604328155517578
1970-01-01 08:15:00,0.6004238128662109
1970-01-01 08:20:00,0.3698854446411133
1970-01-01 08:25:00,0.36493873596191406
1970-01-01 08:30:00,0.30080127716064453
1970-01-01 08:35:00,0.44638633728027344
1970-01-01 08:40:00,0.4797172546386719
1970-01-01 08:45:00,0.7631521224975586
1970-01-01 08:50:00,0.9936714172363281
1970-01-01 08:55:00,0.7937984466552734
1970-01-01 09:00:00,0.5810976028442383
1970-01-01 09:05:00,0.4415168762207031
1970-01-01 09:10:00,0.5205059051513672
1970-01-01 09:15:00,0.5206508636474609
1970-01-01 09:20:00,0.45591163635253906
1970-01-01 09:25:00,0.5204267501831055
1970-01-01 09:30:00,0.6650505065917969
1970-01-01 09:35:00,0.5602807998657227
1970-01-01 09:40:00,0.8734550476074219
1970-01-01 09:45:00,0.7763166427612305
1970-01-01 09:50:00,0.8733224868774414
1970-01-01 09:55:00,0.8700981140136719
1970-01-01 10:00:00,0.9427089691162109
1970-01-01 10:05:00,0.6511774063110352
1970-01-01 10:10:00,0.7544479370117188
1970-01-01 10:15:00,0.8331279754638672
1970-01-01 10:20:00,0.9358901977539062
1970-01-01 10:25:00,1.346848487854004
1970-01-01 10:30:00,1.1725006103515625
1970-01-01 10:35:00,1.560011863708496
1970-01-01 10:40:00,1.484452247619629
