time,cpu_cores,job_type
2019-05-01 08:05:00,112.0621337890625,Intermediate Job
2019-05-01 08:10:00,115.94110107421875,Intermediate Job
2019-05-01 08:15:00,59.18719482421875,Intermediate Job
2019-05-01 08:20:00,36.3330078125,Intermediate Job
2019-05-01 08:25:00,32.13482666015625,Intermediate Job
2019-05-01 08:30:00,32.1373291015625,Intermediate Job
2019-05-01 08:35:00,50.85577392578125,Intermediate Job
2019-05-01 08:40:00,49.399658203125,Intermediate Job
2019-05-01 08:45:00,94.78558349609375,Intermediate Job
2019-05-01 08:50:00,109.5023193359375,Intermediate Job
2019-05-01 08:55:00,92.655517578125,Intermediate Job
2019-05-01 09:00:00,72.901611328125,Intermediate Job
2019-05-01 09:05:00,64.89794921875,Intermediate Job
2019-05-01 09:10:00,74.2825927734375,Intermediate Job
2019-05-01 09:15:00,66.27734375,Intermediate Job
2019-05-01 09:20:00,60.26666259765625,Intermediate Job
2019-05-01 09:25:00,71.22357177734375,Intermediate Job
2019-05-01 09:30:00,77.34454345703125,Intermediate Job
2019-05-01 09:35:00,68.1279296875,Intermediate Job
2019-05-01 09:40:00,90.37982177734375,Intermediate Job
2019-05-01 09:45:00,84.51727294921875,Intermediate Job
2019-05-01 09:50:00,86.18255615234375,Intermediate Job
2019-05-01 09:55:00,85.48681640625,Intermediate Job
2019-05-01 10:00:00,97.050048828125,Intermediate Job
2019-05-01 10:05:00,72.43994140625,Intermediate Job
2019-05-01 10:10:00,87.63848876953125,Intermediate Job
2019-05-01 10:15:00,95.3768310546875,Intermediate Job
2019-05-01 10:20:00,103.05926513671875,Intermediate Job
2019-05-01 10:25:00,144.07745361328125,Intermediate Job
2019-05-01 10:30:00,122.51025390625,Intermediate Job
2019-05-01 10:35:00,139.77752685546875,Intermediate Job
2019-05-01 10:40:00,141.4964599609375,Intermediate Job
2019-05-01 10:45:00,136.5865478515625,Intermediate Job
2019-05-01 10:50:00,136.87249755859375,Intermediate Job
2019-05-01 10:55:00,146.7454833984375,Intermediate Job
2019-05-01 11:00:00,134.96173095703125,Intermediate Job
2019-05-01 11:05:00,174.54901123046875,Intermediate Job
2019-05-01 11:10:00,179.91046142578125,Intermediate Job
2019-05-01 11:15:00,174.78033447265625,Intermediate Job
2019-05-01 11:20:00,145.21124267578125,Intermediate Job
2019-05-01 11:25:00,137.76190185546875,Intermediate Job
2019-05-01 11:30:00,131.89398193359375,Intermediate Job
2019-05-01 11:35:00,135.37353515625,Intermediate Job
2019-05-01 11:40:00,123.464599609375,Intermediate Job
2019-05-01 11:45:00,124.09197998046875,Intermediate Job
2019-05-01 11:50:00,140.34552001953125,Intermediate Job
2019-05-01 11:55:00,144.03338623046875,Intermediate Job
2019-05-01 12:00:00,131.33660888671875,Intermediate Job
2019-05-01 12:05:00,108.80084228515625,Intermediate Job
2019-05-01 12:10:00,73.838134765625,Intermediate Job
2019-05-01 12:15:00,71.9832763671875,Intermediate Job
2019-05-01 12:20:00,89.383544921875,Intermediate Job
2019-05-01 12:25:00,70.92852783203125,Intermediate Job
2019-05-01 12:30:00,68.10791015625,Intermediate Job
2019-05-01 12:35:00,88.94732666015625,Intermediate Job
2019-05-01 12:40:00,138.902099609375,Intermediate Job
2019-05-01 12:45:00,130.70721435546875,Intermediate Job
2019-05-01 12:50:00,129.170166015625,Intermediate Job
2019-05-01 12:55:00,96.18017578125,Intermediate Job
2019-05-01 13:00:00,108.35992431640625,Intermediate Job
2019-05-01 13:05:00,93.9407958984375,Intermediate Job
2019-05-01 13:10:00,77.1851806640625,Intermediate Job
2019-05-01 13:15:00,100.0616455078125,Intermediate Job
2019-05-01 13:20:00,102.96630859375,Intermediate Job
2019-05-01 13:25:00,112.21795654296875,Intermediate Job
2019-05-01 13:30:00,119.876220703125,Intermediate Job
2019-05-01 13:35:00,126.5740966796875,Intermediate Job
2019-05-01 13:40:00,129.9678955078125,Intermediate Job
2019-05-01 13:45:00,131.3973388671875,Intermediate Job
2019-05-01 13:50:00,127.43609619140625,Intermediate Job
2019-05-01 13:55:00,117.38702392578125,Intermediate Job
2019-05-01 14:00:00,127.21240234375,Intermediate Job
2019-05-01 14:05:00,104.99859619140625,Intermediate Job
2019-05-01 14:10:00,84.52886962890625,Intermediate Job
2019-05-01 14:15:00,120.9993896484375,Intermediate Job
2019-05-01 14:20:00,138.1771240234375,Intermediate Job
2019-05-01 14:25:00,141.29595947265625,Intermediate Job
2019-05-01 14:30:00,132.20556640625,Intermediate Job
2019-05-01 14:35:00,144.25836181640625,Intermediate Job
2019-05-01 14:40:00,128.927490234375,Intermediate Job
2019-05-01 14:45:00,161.82373046875,Intermediate Job
2019-05-01 14:50:00,137.929443359375,Intermediate Job
2019-05-01 14:55:00,145.61065673828125,Intermediate Job
2019-05-01 15:00:00,135.7718505859375,Intermediate Job
2019-05-01 15:05:00,135.63140869140625,Intermediate Job
2019-05-01 15:10:00,152.7686767578125,Intermediate Job
2019-05-01 15:15:00,149.1583251953125,Intermediate Job
2019-05-01 15:20:00,148.04718017578125,Intermediate Job
2019-05-01 15:25:00,136.77801513671875,Intermediate Job
2019-05-01 15:30:00,149.1317138671875,Intermediate Job
2019-05-01 15:35:00,124.20953369140625,Intermediate Job
2019-05-01 15:40:00,129.96441650390625,Intermediate Job
2019-05-01 15:45:00,120.0322265625,Intermediate Job
2019-05-01 15:50:00,115.60894775390625,Intermediate Job
2019-05-01 15:55:00,138.5911865234375,Intermediate Job
2019-05-01 16:00:00,100.45648193359375,Intermediate Job
2019-05-01 16:05:00,112.940673828125,Intermediate Job
2019-05-01 16:10:00,134.1270751953125,Intermediate Job
2019-05-01 16:15:00,139.81195068359375,Intermediate Job
2019-05-01 16:20:00,150.575439453125,Intermediate Job
2019-05-01 16:25:00,141.64056396484375,Intermediate Job
2019-05-01 16:30:00,113.62200927734375,Intermediate Job
2019-05-01 16:35:00,110.43267822265625,Intermediate Job
2019-05-01 16:40:00,82.90826416015625,Intermediate Job
2019-05-01 16:45:00,87.4700927734375,Intermediate Job
2019-05-01 16:50:00,110.14642333984375,Intermediate Job
2019-05-01 16:55:00,112.93939208984375,Intermediate Job
2019-05-01 17:00:00,131.908447265625,Intermediate Job
2019-05-01 17:05:00,122.2135009765625,Intermediate Job
2019-05-01 17:10:00,123.1822509765625,Intermediate Job
2019-05-01 17:15:00,122.9842529296875,Intermediate Job
2019-05-01 17:20:00,149.2716064453125,Intermediate Job
2019-05-01 17:25:00,132.43817138671875,Intermediate Job
2019-05-01 17:30:00,95.546875,Intermediate Job
2019-05-01 17:35:00,89.91802978515625,Intermediate Job
2019-05-01 17:40:00,101.8074951171875,Intermediate Job
2019-05-01 17:45:00,94.16058349609375,Intermediate Job
2019-05-01 17:50:00,103.00018310546875,Intermediate Job
2019-05-01 17:55:00,103.0848388671875,Intermediate Job
2019-05-01 18:00:00,101.391357421875,Intermediate Job
2019-05-01 18:05:00,138.21051025390625,Intermediate Job
2019-05-01 18:10:00,97.06500244140625,Intermediate Job
2019-05-01 18:15:00,69.99432373046875,Intermediate Job
2019-05-01 18:20:00,82.716064453125,Intermediate Job
2019-05-01 18:25:00,79.22686767578125,Intermediate Job
2019-05-01 18:30:00,94.26226806640625,Intermediate Job
2019-05-01 18:35:00,93.06781005859375,Intermediate Job
2019-05-01 18:40:00,97.79107666015625,Intermediate Job
2019-05-01 18:45:00,114.62091064453125,Intermediate Job
2019-05-01 18:50:00,147.0111083984375,Intermediate Job
2019-05-01 18:55:00,138.3057861328125,Intermediate Job
2019-05-01 19:00:00,147.2996826171875,Intermediate Job
2019-05-01 19:05:00,132.51336669921875,Intermediate Job
2019-05-01 19:10:00,122.57476806640625,Intermediate Job
2019-05-01 19:15:00,158.23394775390625,Intermediate Job
2019-05-01 19:20:00,134.6300048828125,Intermediate Job
2019-05-01 19:25:00,128.88836669921875,Intermediate Job
2019-05-01 19:30:00,117.94549560546875,Intermediate Job
2019-05-01 19:35:00,115.3564453125,Intermediate Job
2019-05-01 19:40:00,124.194580078125,Intermediate Job
2019-05-01 19:45:00,171.38214111328125,Intermediate Job
2019-05-01 19:50:00,150.76092529296875,Intermediate Job
2019-05-01 19:55:00,137.9866943359375,Intermediate Job
2019-05-01 20:00:00,108.6925048828125,Intermediate Job
2019-05-01 20:05:00,136.42987060546875,Intermediate Job
2019-05-01 20:10:00,103.4107666015625,Intermediate Job
2019-05-01 20:15:00,103.90875244140625,Intermediate Job
2019-05-01 20:20:00,99.76348876953125,Intermediate Job
2019-05-01 20:25:00,108.78924560546875,Intermediate Job
2019-05-01 20:30:00,123.46234130859375,Intermediate Job
2019-05-01 20:35:00,142.0472412109375,Intermediate Job
2019-05-01 20:40:00,140.03216552734375,Intermediate Job
